PRESENT_SN,LCLAS_CL,MLSFC_CL,SCLAS_CL,ATRB_SE,WTNNC_SN,NTFC_SN,DGM_NM,DGM_AR,DGM_LT,SIGNGU_SE,DRAWING_NO,CREATE_DAT,SHAPE_AREA,SHAPE_LEN,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
11000UQ181PS201912150498,UQ1200,UQ1210,UQ1212,UQ1212,11000AGZ201611150543,11000NTC201607147820,경복궁서측 주거환경관리사업구역,563151.03545587,5232.62787178,"11000",,2019/12/15,563151.03545600001,5232.62787178000,"11110103","11110",궁정동,1034
11000UQ181PS201912150498,UQ1200,UQ1210,UQ1212,UQ1212,11000AGZ201611150543,11000NTC201607147820,경복궁서측 주거환경관리사업구역,563151.03545587,5232.62787178,"11000",,2019/12/15,563151.03545600001,5232.62787178000,"11110103","11110",궁정동,1034
11000UQ181PS202010220002,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202010190002,11110NTC202010190001,도시환경정비사업구역,3999.14117600,251.18483020,"11000","1",2020/10/22,3999.14117600000,251.18483019900,"11110120","11110",신문로1가,1032
11000UQ181PS202010220003,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202010190003,11110NTC202010190001,도시환경정비사업구역,3347.91445500,225.17082664,"11000","2",2020/10/22,3347.91445500000,225.17082663600,"11110120","11110",신문로1가,1032
11000UQ181PS202010220006,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202010190010,11110NTC202010190001,도시환경정비사업구역,805.95578276,110.62955558,"11000","12",2020/10/22,805.95622590000,110.62962327100,"11110120","11110",신문로1가,1032
11000UQ181PS202010220001,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202010190001,11110NTC202010190001,도시환경정비사업구역,42957.85102035,1215.26134977,"11000",,2020/10/22,42957.85047940000,1215.26132041000,"11110120","11110",신문로1가,1032
11000UQ181PS202010220006,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202010190010,11110NTC202010190001,도시환경정비사업구역,805.95578276,110.62955558,"11000","12",2020/10/22,805.95622590000,110.62962327100,"11110120","11110",신문로1가,1032
11000UQ181PS201912150817,UQ1200,UQ1230,UQ1232,UQ1232,11000AGZ200802289383,11000NTC200611300574,세종로2구역도시환경정비사업,4100.65485190,248.51129524,"11000",,2019/12/15,4100.65485190000,248.51129524200,"11110120","11110",신문로1가,1032
11000UQ181PS202010220002,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202010190002,11110NTC202010190001,도시환경정비사업구역,3999.14117600,251.18483020,"11000","1",2020/10/22,3999.14117600000,251.18483019900,"11110120","11110",신문로1가,1032
11000UQ181PS202010220003,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202010190003,11110NTC202010190001,도시환경정비사업구역,3347.91445500,225.17082664,"11000","2",2020/10/22,3347.91445500000,225.17082663600,"11110120","11110",신문로1가,1032
